osm_id,code,fclass,name,Lat,Long
230384086,5661,ferry_terminal, ,85.247389400000003,19.615254000000000
245652501,5651,airport,Jeypore,82.552768000000000,18.881287499999999
569908364,5601,railway_station,Kendrapara Road,85.917810700000004,20.498511700000002
600393279,5601,railway_station,Rupsa Junction,87.018873999999997,21.622365100000000
600393296,5601,railway_station,Jaleswar,87.220063699999997,21.797637099999999
600395018,5601,railway_station,Sora,86.692351299999999,21.291141799999998
600399581,5601,railway_station,Bhadrak Junction,86.516542099999995,21.090906400000001
600418711,5601,railway_station,Jakhapura Junction,86.064715100000001,20.916279400000001
600643762,5601,railway_station,Jajpur Keonjhar Road Junction,86.133103000000006,20.943566900000000
600644263,5601,railway_station,Byree,86.035198300000005,20.628414100000001
600644273,5601,railway_station,Dhanmandal,86.112422600000002,20.686843799999998
718624754,5601,railway_station,Rayagada,83.410679999999999,19.175364600000002
746566749,5601,railway_station,Ib,83.949001199999998,21.816317000000002
746566856,5601,railway_station,Brajarajnagar,83.923677699999999,21.822738200000000
747164265,5601,railway_station,Rourkela Junction,84.863158499999997,22.227716600000001
747215270,5651,airport,Nuagaon Airstrip,83.446975399999999,20.512386400000000
794327598,5601,railway_station,Birpurusottampur,85.806334800000002,19.990866199999999
963094191,5601,railway_station,Jeypore,82.553966399999993,18.896045999999998
963095546,5601,railway_station,Chatariput,82.590119500000000,18.923225899999998
963098995,5601,railway_station,Maligura,82.638824999999997,18.953594400000000
984079705,5661,ferry_terminal,Satapada Ferry Terminal,85.436778099999998,19.668984900000002
999634074,5661,ferry_terminal, ,85.171057800000000,19.643983700000000
1000565415,5661,ferry_terminal, ,86.654798000000000,20.798298700000000
1000565480,5661,ferry_terminal, ,86.654124400000001,20.796758700000002
1038374471,5601,railway_station,Hirakud,83.905355000000000,21.479826899999999
1051410827,5621,bus_stop, ,86.287955900000000,20.489130599999999
1051410926,5621,bus_stop, ,86.458090999999996,20.540693600000001
1051410988,5621,bus_stop, ,86.513261999999997,20.572257700000002
1051411013,5621,bus_stop, ,86.338723000000002,20.504646600000001
1051411125,5621,bus_stop, ,86.010096700000005,20.486670199999999
1051411173,5621,bus_stop, ,86.379788899999994,20.515724500000001
1051411216,5621,bus_stop, ,86.554774800000004,20.580327400000002
1051411453,5621,bus_stop, ,86.591647300000005,20.567671699999998
1051411480,5621,bus_stop, ,86.229289199999997,20.482666699999999
1051411643,5621,bus_stop, ,86.130196299999994,20.476017800000001
1051411694,5621,bus_stop, ,86.491041600000003,20.570416000000002
1051457350,5621,bus_stop, ,86.107269599999995,20.478178199999999
1051457353,5621,bus_stop, ,86.328907500000000,20.501936900000000
1051457357,5621,bus_stop, ,86.422289500000005,20.521305900000002
1051457361,5621,bus_stop, ,86.253545500000001,20.487186900000001
1051457379,5621,bus_stop, ,86.611956899999996,20.568500400000001
1051457383,5621,bus_stop, ,86.601914800000003,20.565371400000000
1051457386,5621,bus_stop, ,86.184273000000005,20.478428500000000
1051457389,5621,bus_stop, ,86.561375600000005,20.583073700000000
1051457406,5621,bus_stop, ,86.147595999999993,20.478826300000001
1051457409,5621,bus_stop, ,86.172679599999995,20.478509899999999
1051457413,5621,bus_stop, ,86.401136699999995,20.515823800000000
1051457415,5621,bus_stop, ,86.078432199999995,20.483432600000000
1051457423,5621,bus_stop, ,86.050979799999993,20.481800700000001
1051457424,5621,bus_stop, ,86.103332199999997,20.478891200000000
1051497859,5622,bus_station,Badambadi Bus Station,85.881233800000004,20.459051100000000
1051626628,5601,railway_station,Barang Junction,85.832055400000002,20.404384000000000
1051796516,5622,bus_station,Puri Bus Station,85.839113299999994,19.814766200000001
1051796615,5622,bus_station,Puri Local Bus Stand,85.837938800000003,19.815701199999999
1051796690,5621,bus_stop,Kalpana Chowk,85.840380900000000,20.255569399999999
1051796828,5621,bus_stop,Kalpana Chowk,85.840066800000002,20.255857400000000
1051822806,5621,bus_stop, ,85.646479700000000,19.798311399999999
1051822853,5621,bus_stop, ,85.686400500000005,19.797552899999999
1051822887,5621,bus_stop, ,85.620583100000005,19.789725700000002
1051822907,5621,bus_stop, ,85.737413799999999,19.809725199999999
1051822973,5621,bus_stop, ,85.590220400000007,19.756515700000001
1051823066,5621,bus_stop, ,85.673818299999994,19.798408299999998
1051823264,5621,bus_stop, ,85.691011000000003,19.798841100000001
1051823312,5621,bus_stop, ,85.639781900000003,19.796851199999999
1051823321,5621,bus_stop, ,85.651118900000000,19.797868399999999
1051829734,5621,bus_stop, ,85.560607200000007,19.736938200000001
1051829735,5621,bus_stop, ,85.723551499999999,19.807298700000000
1051829737,5621,bus_stop, ,85.539371799999998,19.727204100000002
1051829741,5621,bus_stop, ,85.697444500000003,19.801508800000001
1051829774,5621,bus_stop, ,85.747839099999993,19.811190799999999
1051829787,5621,bus_stop, ,85.599380100000005,19.769684600000001
1051829792,5621,bus_stop, ,85.716723999999999,19.806424499999999
1051829800,5621,bus_stop, ,85.569440499999999,19.741918500000001
1051829824,5621,bus_stop, ,85.666536300000004,19.799343499999999
1051829847,5621,bus_stop, ,85.504505199999997,19.702321300000001
1051829918,5621,bus_stop, ,85.507456800000000,19.706406900000001
1051830055,5621,bus_stop, ,85.528568399999997,19.721825599999999
1051830216,5621,bus_stop, ,85.630838600000004,19.792712000000002
1051830237,5621,bus_stop, ,85.703763400000000,19.802336600000000
1051830238,5621,bus_stop, ,85.564447999999999,19.739210700000001
1051920534,5621,bus_stop, ,85.656360100000001,19.798792200000001
1051920828,5621,bus_stop, ,85.607466099999996,19.783764600000001
